PRODUCT ID,CHAIR TYPE,WOOD,LENGTH(INCHES),WIDTH(INCHES),HEIGHT(INCHES),WOOD PRICE(PER CUBIC),QUANTITY OF WOOD USED(IN CUBIC),LABOUR CHARGE,PRICE
ZQC917,DINING CHAIR,TEAK,34,18,16,1400,2,596,3396
HXE239,ROCKING CHAIR,ACACIA,25,25,45,800,3,1528,3928
MEA367,DINING CHAIR,TEAK,34,18,16,1400,2,773,3573
NAH332,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,990,4490
CVD300,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1484,3884
NKK966,DINING CHAIR,ACACIA,34,18,16,800,2,652,2252
HYF727,BAR CHAIR,ACACIA,18,18,28,800,1.5,636,1836
LCD113,DINING CHAIR,ACACIA,34,18,16,800,2,693,2293
HJU334,RECLINER CHAIR,TEAK,48,26,28,1400,3,1897,6097
UKY803,ROCKING CHAIR,ACACIA,25,25,45,800,3,1511,3911
USI867,ROCKING CHAIR,TEAK,25,25,45,1400,3,1350,5550
QIE783,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1119,3119
MEM658,ARM CHAIR,TEAK,35,35,36,1400,3,2042,6242
DXL743,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1471,3871
BGL937,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,607,4207
OKR553,ARM CHAIR,ACACIA,35,35,36,800,3,2098,4498
VNS475,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1447,3847
SJU208,BAR CHAIR,TEAK,18,18,28,1400,1.5,545,2645
RCQ988,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1461,8661
RXS184,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,539,1739
OGR444,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1024,7024
DHW987,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1140,3140
VNL598,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1903,4303
LWT808,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1453,3853
AUM840,RECLINER CHAIR,ACACIA,48,26,28,800,3,1842,4242
NVD251,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1880,9080
JQV949,ROCKING CHAIR,ACACIA,25,25,45,800,3,1335,3735
MHM722,DINING CHAIR,MAHAGONY,34,18,16,800,2,598,2198
AMA539,ARM CHAIR,ACACIA,35,35,36,800,3,1837,4237
HOQ670,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,621,5421
USZ921,RECLINER CHAIR,TEAK,48,26,28,1400,3,1912,6112
YJO774,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,652,4252
UYS851,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1078,4578
TDJ813,RECLINER CHAIR,TEAK,48,26,28,1400,3,1781,5981
NCS651,DINING CHAIR,ACACIA,34,18,16,800,2,635,2235
AAN887,ROCKING CHAIR,ACACIA,25,25,45,800,3,1596,3996
GCX334,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1774,4174
IEF537,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,677,5477
RXS456,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,774,5574
ZDH855,ARM CHAIR,TEAK,35,35,36,1400,3,2167,6367
TDF938,BAR CHAIR,ACACIA,18,18,28,800,1.5,662,1862
DEU538,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,670,1870
KON284,DINING CHAIR,MAHAGONY,34,18,16,800,2,779,2379
TEQ812,DINING CHAIR,TEAK,34,18,16,1400,2,717,3517
TML352,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1733,8933
VXG646,ARM CHAIR,MAHAGONY,35,35,36,800,3,2017,4417
LZI709,DINING CHAIR,MAHAGONY,34,18,16,800,2,576,2176
JQK176,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1524,8724
EMC484,ARM CHAIR,MAHAGONY,35,35,36,800,3,1999,4399
XNC416,BAR CHAIR,ACACIA,18,18,28,800,1.5,681,1881
JUT431,ARM CHAIR,MAHAGONY,35,35,36,800,3,1947,4347
AIR685,ARM CHAIR,TEAK,35,35,36,1400,3,2159,6359
MNS780,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,983,2983
FBO617,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1150,3150
WNR198,ROCKING CHAIR,ACACIA,25,25,45,800,3,1515,3915
HHX222,ARM CHAIR,MAHAGONY,35,35,36,800,3,1830,4230
CSF285,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1449,8649
ZXX715,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1506,8706
EBU268,ARM CHAIR,TEAK,35,35,36,1400,3,2092,6292
CTQ140,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1253,8453
SNS217,RECLINER CHAIR,TEAK,48,26,28,1400,3,1974,6174
BCD878,BAR CHAIR,TEAK,18,18,28,1400,1.5,532,2632
AZN651,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1433,3833
LAE622,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,910,2910
WRQ863,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,585,5385
BCE872,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,740,5540
TGW241,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,577,5377
TDW135,ARM CHAIR,ACACIA,35,35,36,800,3,1978,4378
WWL947,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1075,3075
MNK199,ARM CHAIR,MAHAGONY,35,35,36,800,3,1534,3934
HFR888,DINING CHAIR,MAHAGONY,34,18,16,800,2,579,2179
KVT728,ARM CHAIR,MAHAGONY,35,35,36,800,3,1870,4270
XUY929,DINING CHAIR,TEAK,34,18,16,1400,2,508,3308
AVF908,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1233,8433
VVP763,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1954,9154
QWX431,DINING CHAIR,MAHAGONY,34,18,16,800,2,545,2145
HGU632,RECLINER CHAIR,TEAK,48,26,28,1400,3,1904,6104
QXR805,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1279,8479
WBB421,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1043,3043
GNA181,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1052,7052
AFW982,ARM CHAIR,TEAK,35,35,36,1400,3,1805,6005
USG990,ARM CHAIR,MAHAGONY,35,35,36,800,3,1796,4196
YLF117,DINING CHAIR,ACACIA,34,18,16,800,2,585,2185
HOQ214,ROCKING CHAIR,ACACIA,25,25,45,800,3,1375,3775
ZSV579,ARM CHAIR,MAHAGONY,35,35,36,800,3,1711,4111
TDZ346,ARM CHAIR,ACACIA,35,35,36,800,3,1581,3981
TOF781,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1593,3993
GNS834,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1773,4173
OML701,DINING CHAIR,ACACIA,34,18,16,800,2,516,2116
BWW605,DINING CHAIR,MAHAGONY,34,18,16,800,2,639,2239
FSX323,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1967,9167
TNA280,RECLINER CHAIR,TEAK,48,26,28,1400,3,1837,6037
VYV584,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1794,4194
HUH212,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1932,4332
BPD215,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1505,8705
OMB327,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1131,3131
LQF451,RECLINER CHAIR,ACACIA,48,26,28,800,3,1753,4153
USV537,ROCKING CHAIR,ACACIA,25,25,45,800,3,1599,3999
KQD786,ARM CHAIR,TEAK,35,35,36,1400,3,2069,6269
OUT144,BAR CHAIR,TEAK,18,18,28,1400,1.5,699,2799
SPQ207,ROCKING CHAIR,TEAK,25,25,45,1400,3,1354,5554
NCE812,BAR CHAIR,ACACIA,18,18,28,800,1.5,623,1823
UJE754,BAR CHAIR,ACACIA,18,18,28,800,1.5,694,1894
WAK298,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1079,7079
HBW687,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,902,6902
UUR837,RECLINER CHAIR,ACACIA,48,26,28,800,3,1828,4228
BGA854,RECLINER CHAIR,ACACIA,48,26,28,800,3,1758,4158
NLU511,ARM CHAIR,MAHAGONY,35,35,36,800,3,1971,4371
POA459,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,623,4223
TRV141,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,926,6926
PTU357,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1090,3090
TLQ380,ARM CHAIR,MAHAGONY,35,35,36,800,3,2080,4480
XUR611,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1199,3199
FHE684,RECLINER CHAIR,ACACIA,48,26,28,800,3,1760,4160
CRY554,ROCKING CHAIR,TEAK,25,25,45,1400,3,1274,5474
BSN657,RECLINER CHAIR,ACACIA,48,26,28,800,3,1808,4208
CPT873,ARM CHAIR,ACACIA,35,35,36,800,3,1860,4260
QRO900,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1275,3675
EZO170,DINING CHAIR,ACACIA,34,18,16,800,2,631,2231
YVV431,ROCKING CHAIR,TEAK,25,25,45,1400,3,1542,5742
UXM833,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1972,4372
GHF109,RECLINER CHAIR,TEAK,48,26,28,1400,3,1727,5927
STV780,ROCKING CHAIR,TEAK,25,25,45,1400,3,1257,5457
SGU712,ARM CHAIR,ACACIA,35,35,36,800,3,1798,4198
FKX644,DINING CHAIR,MAHAGONY,34,18,16,800,2,572,2172
NSB421,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1035,3035
URM863,ROCKING CHAIR,ACACIA,25,25,45,800,3,1501,3901
CKU985,BAR CHAIR,ACACIA,18,18,28,800,1.5,699,1899
CNM376,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1017,3017
OHJ637,ARM CHAIR,ACACIA,35,35,36,800,3,2195,4595
OZU505,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1316,8516
PPO379,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1985,9185
TMO578,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1189,3189
XBU430,RECLINER CHAIR,ACACIA,48,26,28,800,3,1853,4253
RMU267,DINING CHAIR,TEAK,34,18,16,1400,2,630,3430
KNZ816,ARM CHAIR,TEAK,35,35,36,1400,3,1712,5912
AKV230,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,918,2918
RLB953,BAR CHAIR,ACACIA,18,18,28,800,1.5,620,1820
XCV556,ROCKING CHAIR,TEAK,25,25,45,1400,3,1527,5727
KLW786,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1805,4205
EBD311,RECLINER CHAIR,TEAK,48,26,28,1400,3,1797,5997
HPK717,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,614,1814
TJK246,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1015,7015
EKM145,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1422,8622
CYU916,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1062,4562
XCV679,BAR CHAIR,ACACIA,18,18,28,800,1.5,679,1879
BUG954,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1388,8588
USF873,RECLINER CHAIR,TEAK,48,26,28,1400,3,1834,6034
OFJ249,ARM CHAIR,MAHAGONY,35,35,36,800,3,1801,4201
NJH410,ROCKING CHAIR,TEAK,25,25,45,1400,3,1331,5531
VUI434,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,958,2958
OKA364,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1705,8905
YOL272,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1734,8934
CGN691,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,652,5452
KNV227,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,650,4250
NVH164,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1026,3026
QZA282,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1032,3032
IQF601,DINING CHAIR,TEAK,34,18,16,1400,2,756,3556
BAC451,ROCKING CHAIR,TEAK,25,25,45,1400,3,1443,5643
RLW335,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,651,5451
JLD699,RECLINER CHAIR,TEAK,48,26,28,1400,3,1952,6152
NDQ942,RECLINER CHAIR,TEAK,48,26,28,1400,3,1809,6009
LFW937,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1422,3822
UGH270,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1187,4687
CVW770,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,586,1786
YOR481,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1065,3065
MIW586,ARM CHAIR,TEAK,35,35,36,1400,3,2017,6217
EEZ409,ARM CHAIR,ACACIA,35,35,36,800,3,1706,4106
FEZ491,BAR CHAIR,ACACIA,18,18,28,800,1.5,523,1723
PPU272,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1022,7022
NFM501,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1515,3915
OTM337,ROCKING CHAIR,ACACIA,25,25,45,800,3,1409,3809
KFP871,BAR CHAIR,TEAK,18,18,28,1400,1.5,554,2654
VKF865,ARM CHAIR,MAHAGONY,35,35,36,800,3,1510,3910
JKC121,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,985,4485
ZES962,DINING CHAIR,TEAK,34,18,16,1400,2,767,3567
QPW426,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1198,3198
QKR658,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1033,3033
FAQ787,DINING CHAIR,MAHAGONY,34,18,16,800,2,604,2204
ZJX898,ROCKING CHAIR,ACACIA,25,25,45,800,3,1229,3629
HQB636,BAR CHAIR,ACACIA,18,18,28,800,1.5,676,1876
QWD662,ROCKING CHAIR,ACACIA,25,25,45,800,3,1457,3857
OSL151,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1105,3105
IPB191,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1132,7132
ZKW241,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1324,8524
PBF110,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1927,9127
GNU685,DINING CHAIR,MAHAGONY,34,18,16,800,2,513,2113
BLF247,ARM CHAIR,TEAK,35,35,36,1400,3,2082,6282
JJG943,ROCKING CHAIR,TEAK,25,25,45,1400,3,1305,5505
IVC627,DINING CHAIR,MAHAGONY,34,18,16,800,2,652,2252
KCD206,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,559,1759
OBI197,DINING CHAIR,ACACIA,34,18,16,800,2,605,2205
LNX199,RECLINER CHAIR,ACACIA,48,26,28,800,3,1741,4141
GWC386,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1166,3166
XGR272,ARM CHAIR,TEAK,35,35,36,1400,3,1581,5781
MXW849,RECLINER CHAIR,ACACIA,48,26,28,800,3,1826,4226
XPQ446,ARM CHAIR,MAHAGONY,35,35,36,800,3,1644,4044
QIP302,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1341,8541
FRT971,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,977,2977
ZFK197,DINING CHAIR,MAHAGONY,34,18,16,800,2,792,2392
ZVD758,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,961,2961
VPP436,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1238,3638
CLH819,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1101,3101
WVM220,ARM CHAIR,TEAK,35,35,36,1400,3,2051,6251
